epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,2674.61,0.69368,0.43627,0.00646,0.9345,0.92524,0.956,0.77873,0.85641,0.47516,0.01228,0.00142221,0.000474071,0.00142221,0.000474071,0.00142221,0.000474071,0.00142221,0.000474071
83,2705.17,0.67716,0.40273,0.00629,0.94286,0.92367,0.95717,0.77638,0.85973,0.53319,0.01226,0.00138684,0.000462281,0.00138684,0.000462281,0.00138684,0.000462281,0.00138684,0.000462281
84,2736.74,0.68455,0.42496,0.00647,0.95768,0.91617,0.95807,0.77756,0.85296,0.499,0.01237,0.00135148,0.000450492,0.00135148,0.000450492,0.00135148,0.000450492,0.00135148,0.000450492
85,2765.13,0.6764,0.41435,0.00636,0.92277,0.94672,0.95564,0.7769,0.85816,0.472,0.01248,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
86,2796.3,0.67567,0.42326,0.00635,0.94911,0.91957,0.95597,0.77442,0.86036,0.5073,0.01261,0.00128074,0.000426914,0.00128074,0.000426914,0.00128074,0.000426914,0.00128074,0.000426914
87,2825.48,0.6465,0.37581,0.00616,0.92145,0.94257,0.95631,0.77693,0.84528,0.48352,0.01224,0.00124537,0.000415124,0.00124537,0.000415124,0.00124537,0.000415124,0.00124537,0.000415124
88,2855.39,0.64635,0.37396,0.00615,0.94162,0.92586,0.95566,0.77357,0.85435,0.48998,0.01247,0.00121001,0.000403335,0.00121001,0.000403335,0.00121001,0.000403335,0.00121001,0.000403335
89,2889.5,0.66017,0.39841,0.00603,0.95485,0.9172,0.95378,0.77161,0.85849,0.50608,0.01231,0.00117464,0.000391546,0.00117464,0.000391546,0.00117464,0.000391546,0.00117464,0.000391546
90,2921.28,0.68182,0.40164,0.00628,0.94244,0.93114,0.95238,0.77549,0.86523,0.50301,0.01249,0.00113927,0.000379757,0.00113927,0.000379757,0.00113927,0.000379757,0.00113927,0.000379757
91,2952.15,0.66277,0.38846,0.0061,0.94321,0.92979,0.95524,0.77571,0.8617,0.50843,0.01236,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
92,2979.86,0.6628,0.39851,0.00629,0.95722,0.92026,0.9575,0.77575,0.85682,0.50296,0.01247,0.00106853,0.000356178,0.00106853,0.000356178,0.00106853,0.000356178,0.00106853,0.000356178
93,3007.32,0.64648,0.3742,0.00608,0.93775,0.92645,0.95718,0.78133,0.85568,0.50236,0.01243,0.00103317,0.000344389,0.00103317,0.000344389,0.00103317,0.000344389,0.00103317,0.000344389
94,3034.94,0.63649,0.3737,0.00586,0.93766,0.94168,0.95707,0.78102,0.86107,0.49451,0.01248,0.000997799,0.0003326,0.000997799,0.0003326,0.000997799,0.0003326,0.000997799,0.0003326
95,3062.42,0.63755,0.38346,0.00595,0.94851,0.91793,0.9597,0.77629,0.86878,0.48178,0.0126,0.000962431,0.00032081,0.000962431,0.00032081,0.000962431,0.00032081,0.000962431,0.00032081
96,3089.67,0.65079,0.39345,0.0062,0.9242,0.94612,0.9566,0.7777,0.86222,0.49733,0.01257,0.000927064,0.000309021,0.000927064,0.000309021,0.000927064,0.000309021,0.000927064,0.000309021
97,3117.02,0.6533,0.38309,0.00614,0.94594,0.91504,0.95725,0.77914,0.85822,0.48766,0.01252,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
98,3145.29,0.65354,0.38124,0.0063,0.94253,0.9298,0.95696,0.78111,0.84564,0.46753,0.01227,0.000856328,0.000285443,0.000856328,0.000285443,0.000856328,0.000285443,0.000856328,0.000285443
99,3172.53,0.63844,0.37495,0.00586,0.92461,0.93345,0.95631,0.78514,0.84229,0.47873,0.01227,0.000820961,0.000273654,0.000820961,0.000273654,0.000820961,0.000273654,0.000820961,0.000273654
100,3200.01,0.64425,0.38672,0.00595,0.93923,0.92345,0.95597,0.78529,0.84256,0.4775,0.01229,0.000785593,0.000261864,0.000785593,0.000261864,0.000785593,0.000261864,0.000785593,0.000261864
101,3227.45,0.63473,0.37878,0.00603,0.93759,0.9289,0.95738,0.78145,0.85433,0.48404,0.01252,0.000750225,0.000250075,0.000750225,0.000250075,0.000750225,0.000250075,0.000750225,0.000250075
102,3254.92,0.63253,0.38267,0.00594,0.95345,0.93355,0.95924,0.78296,0.85588,0.47219,0.01257,0.000714857,0.000238286,0.000714857,0.000238286,0.000714857,0.000238286,0.000714857,0.000238286
103,3282.52,0.64321,0.35833,0.00596,0.9279,0.93952,0.96069,0.78576,0.85436,0.4671,0.01252,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
104,3310.06,0.63428,0.38003,0.00579,0.94653,0.91415,0.95854,0.77936,0.8665,0.49208,0.01262,0.000644122,0.000214707,0.000644122,0.000214707,0.000644122,0.000214707,0.000644122,0.000214707
105,3337.39,0.63073,0.38224,0.00588,0.9515,0.93497,0.96015,0.78319,0.86239,0.47444,0.01257,0.000608754,0.000202918,0.000608754,0.000202918,0.000608754,0.000202918,0.000608754,0.000202918
106,3364.71,0.62908,0.37235,0.00583,0.94055,0.93578,0.96079,0.78738,0.85791,0.47287,0.01253,0.000573386,0.000191129,0.000573386,0.000191129,0.000573386,0.000191129,0.000573386,0.000191129
107,3392.29,0.62997,0.3589,0.00587,0.9352,0.92299,0.95859,0.78665,0.85285,0.48112,0.01242,0.000538019,0.00017934,0.000538019,0.00017934,0.000538019,0.00017934,0.000538019,0.00017934
108,3419.73,0.62815,0.35799,0.00572,0.95184,0.92605,0.96037,0.78494,0.8577,0.46694,0.01247,0.000502651,0.00016755,0.000502651,0.00016755,0.000502651,0.00016755,0.000502651,0.00016755
109,3447.22,0.61483,0.36676,0.00574,0.94821,0.92515,0.95836,0.7821,0.86337,0.49637,0.01238,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
110,3474.78,0.62196,0.37438,0.00573,0.954,0.93723,0.96194,0.78658,0.85556,0.46548,0.01246,0.000431915,0.000143972,0.000431915,0.000143972,0.000431915,0.000143972,0.000431915,0.000143972
111,3502.56,0.51945,0.21044,0.00598,0.94191,0.93152,0.95477,0.77314,0.85902,0.49456,0.01251,0.000396548,0.000132183,0.000396548,0.000132183,0.000396548,0.000132183,0.000396548,0.000132183
112,3529.97,0.50159,0.20749,0.00569,0.93911,0.92505,0.95509,0.77443,0.86024,0.48723,0.0126,0.00036118,0.000120393,0.00036118,0.000120393,0.00036118,0.000120393,0.00036118,0.000120393
113,3557.28,0.5066,0.19623,0.00572,0.94093,0.93015,0.95598,0.77857,0.85753,0.4923,0.01249,0.000325812,0.000108604,0.000325812,0.000108604,0.000325812,0.000108604,0.000325812,0.000108604
114,3995.16,0.48987,0.2003,0.00547,0.95114,0.91838,0.95586,0.78062,0.85359,0.49372,0.01249,0.000290444,9.68148e-05,0.000290444,9.68148e-05,0.000290444,9.68148e-05,0.000290444,9.68148e-05
115,4016.88,0.48266,0.19541,0.00539,0.93968,0.93143,0.95643,0.78253,0.85138,0.48122,0.01238,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
116,4038.63,0.49094,0.18948,0.00559,0.95012,0.92096,0.95724,0.78234,0.85275,0.48051,0.01243,0.000219709,7.32362e-05,0.000219709,7.32362e-05,0.000219709,7.32362e-05,0.000219709,7.32362e-05
117,4060.32,0.49415,0.19647,0.00556,0.92442,0.93441,0.95675,0.78283,0.85463,0.48633,0.01243,0.000184341,6.1447e-05,0.000184341,6.1447e-05,0.000184341,6.1447e-05,0.000184341,6.1447e-05
118,4082.07,0.47243,0.18483,0.00529,0.94792,0.91791,0.95842,0.78602,0.85454,0.48457,0.01241,0.000148973,4.96578e-05,0.000148973,4.96578e-05,0.000148973,4.96578e-05,0.000148973,4.96578e-05
119,4103.94,0.47935,0.19131,0.00538,0.95366,0.91055,0.95763,0.78432,0.84998,0.48036,0.01237,0.000113606,3.78685e-05,0.000113606,3.78685e-05,0.000113606,3.78685e-05,0.000113606,3.78685e-05
120,4125.56,0.47671,0.19659,0.0054,0.94187,0.92717,0.95947,0.78477,0.85505,0.47051,0.01244,7.82377e-05,2.60792e-05,7.82377e-05,2.60792e-05,7.82377e-05,2.60792e-05,7.82377e-05,2.60792e-05
